lread	lwrite	scall	sread	swrite	fork	exec	rchar	wchar	pgout	ppgout	pgfree	pgscan	atch	pgin	ppgin	pflt	vflt	runqsz	freemem	freeswap	target
6.0	2.0	1036.0	103.0	114.0	1.0	1.0	172076.0	355965.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	73.5999984741211	89.0	2.0	6527.0	1851864.0	90.0
1.0	0.0	2165.0	205.0	101.0	0.4000000059604645	1.2000000476837158	43107.0	44139.0	4.800000190734863	42.20000076293945	75.80000305175781	181.39999389648438	0.20000000298023224	85.4000015258789	88.19999694824219	19.399999618530273	161.8000030517578	3.0	130.0	1131931.0	88.0
62.0	77.0	3806.0	258.0	166.0	1.399999976158142	1.399999976158142	492142.0	268706.0	4.800000190734863	19.399999618530273	44.0	79.19999694824219	2.200000047683716	7.599999904632568	12.199999809265137	68.0	218.8000030517578	5.199999809265137	256.0	1314590.0	85.0
5.0	0.0	4721.0	256.0	177.0	0.9900000095367432	2.5799999237060547	524787.0	174964.0	14.510000228881836	51.4900016784668	88.47000122070312	189.86000061035156	1.9900000095367432	4.170000076293945	24.850000381469727	95.62999725341797	248.91000366210938	1.0	233.0	972606.0	81.0
42.0	55.0	3949.0	249.0	244.0	2.5999999046325684	4.599999904632568	197289.0	529200.0	4.199999809265137	6.800000190734863	6.599999904632568	0.0	1.399999976158142	1.7999999523162842	2.200000047683716	219.60000610351562	297.20001220703125	3.4000000953674316	331.0	1013805.0	79.0
5.0	1.0	1692.0	132.0	87.0	0.4000000059604645	1.7999999523162842	220194.0	107031.0	0.0	0.0	0.0	0.0	0.0	3.809999942779541	4.010000228881836	23.649999618530273	42.08000183105469	2.200000047683716	2291.0	1010703.0	92.0
3.0	0.0	635.0	65.0	47.0	3.0	3.0	87465.0	40740.0	8.600000381469727	8.800000190734863	8.800000190734863	0.0	0.0	1.600000023841858	2.200000047683716	227.60000610351562	226.39999389648438	1.0	289.0	1806587.0	82.0
7.0	5.0	1341.0	240.0	120.0	0.4000000059604645	0.6000000238418579	718437.0	672290.0	0.0	0.0	0.0	0.0	0.0	7.599999904632568	15.0	42.79999923706055	52.79999923706055	4.800000190734863	2532.0	1037078.0	90.0
159.0	40.0	2443.0	299.0	262.0	1.0	1.0	240375.0	209450.0	0.0	0.0	0.0	0.0	0.20000000298023224	18.200000762939453	34.0	80.4000015258789	154.60000610351562	2.799999952316284	536.0	1069565.0	87.0
1.0	0.0	3322.0	271.0	170.0	1.0	3.200000047683716	399277.0	128680.0	0.0	0.0	0.0	0.0	0.0	6.400000095367432	9.199999809265137	32.79999923706055	93.5999984741211	1.0	579.0	1120168.0	86.0
9.0	3.0	1626.0	106.0	100.0	1.2000000476837158	1.2000000476837158	261018.0	111663.0	0.0	0.0	0.0	0.0	0.20000000298023224	10.199999809265137	10.199999809265137	72.5999984741211	134.0	1.0	615.0	1073621.0	87.0
11.0	2.0	1687.0	76.0	115.0	0.4000000059604645	0.4000000059604645	76103.0	93789.0	0.0	0.0	0.0	0.0	0.6000000238418579	9.220000267028809	9.220000267028809	42.88999938964844	83.56999969482422	1.0	631.0	1068366.0	93.0
2.0	1.0	5402.0	406.0	274.0	0.20000000298023224	0.20000000298023224	22609.0	155154.0	2.200000047683716	3.5999999046325684	6.599999904632568	8.0	0.4000000059604645	7.400000095367432	7.400000095367432	33.0	54.20000076293945	2.5	152.0	1015040.0	84.0
6.0	2.0	2040.0	121.0	112.0	0.6000000238418579	0.6000000238418579	38688.0	60507.0	0.0	0.0	0.0	0.0	0.0	11.579999923706055	14.569999694824219	43.90999984741211	74.8499984741211	1.0	1201.0	1111232.0	92.0
