Gen|Top1|Length1|Fitness1|Top2|Length2|Fitness2|Top3|Length3|Fitness3|Top4|Length4|Fitness4|Top5|Length5|Fitness5|Top6|Length6|Fitness6|Top7|Length7|Fitness7|Top8|Length8|Fitness8|Top9|Length9|Fitness9|Top10|Length10|Fitness10
-1|-287.50094121934196*x0**6 - 3.7306768785327904e-11*x0**5 - 5.9128264021102162e-8*x0**4 + 2.5625248450955596e-13*x0**3 + 1.4363645297851054e-10*x0**2 - 2.480230524777615e-15*x0 + 17.869999999999947|10|4.671506711337709e-05|
0|log(sqrt(sub(sqrt(sin(X0)), cos(add(0.677, -0.588)))))|10|0.2867238430480016|log(sqrt(log(div(sqrt(X0), div(X0, X0)))))|9|0.2871044350920958|div(div(sqrt(exp(-0.989)), cos(sin(0.815))), log(mul(mul(X0, X0), div(0.525, X0))))|16|0.32193328719095254|log(sqrt(cos(sqrt(add(X0, X0)))))|7|0.32277969585003685|sub(mul(exp(-0.077), sub(X0, 0.306)), X0)|8|0.3661492092765258|mul(exp(mul(X0, X0)), sin(log(-0.893)))|8|0.36918964100007157|mul(mul(log(sqrt(0.640)), add(sin(0.741), add(X0, -0.043))), 0.856)|12|0.377468898919041|log(sub(sqrt(-0.101), cos(X0)))|6|0.38399545913353|log(exp(sin(sub(cos(0.662), cos(X0)))))|8|0.3860251072678099|div(log(sin(div(X0, X0))), sin(log(sub(0.922, -0.618))))|11|0.4077307936613751|
1|div(sqrt(X0), log(X0))|5|0.23486346496362628|log(log(log(sub(sqrt(-0.101), cos(X0)))))|8|0.26897188112052195|add(sqrt(add(sqrt(X0), sin(-0.870))), sin(-0.870))|9|0.27467329377375016|add(sqrt(add(sqrt(X0), sin(-0.870))), sin(-0.870))|9|0.27467329377375016|log(sqrt(sub(sqrt(sin(X0)), cos(add(0.677, -0.588)))))|10|0.2867238430480016|log(log(sqrt(X0)))|4|0.31137058043523375|sub(log(sub(sqrt(-0.101), cos(X0))), mul(exp(mul(X0, X0)), sin(log(-0.893))))|15|0.3410351067499633|add(sqrt(sub(mul(exp(-0.077), sub(X0, 0.306)), X0)), sin(-0.870))|12|0.36097495005115293|sub(-0.156, sin(log(sub(X0, X0))))|7|0.36661093443451087|mul(exp(mul(X0, X0)), sin(log(-0.893)))|8|0.36918964100007157|
2|div(sqrt(X0), log(X0))|5|0.23486346496362628|add(sqrt(add(sqrt(X0), sin(-0.870))), sin(-0.870))|9|0.27467329377375016|add(sqrt(add(sqrt(X0), sin(-0.870))), sin(-0.870))|9|0.27467329377375016|sub(log(sub(sqrt(-0.101), cos(X0))), add(sqrt(X0), sin(-0.870)))|12|0.2808951409712613|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(-0.202, sub(X0, X0))|5|0.3611897797761462|
3|div(sqrt(X0), log(X0))|5|0.23486346496362628|div(sqrt(X0), log(X0))|5|0.23486346496362628|div(sqrt(X0), log(X0))|5|0.23486346496362628|add(sqrt(add(sqrt(X0), sin(-0.870))), sin(-0.870))|9|0.27467329377375016|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
4|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), div(sqrt(X0), log(X0)))|15|0.23486346496362628|div(sqrt(X0), log(X0))|5|0.23486346496362628|div(sqrt(X0), log(X0))|5|0.23486346496362628|add(sqrt(add(sqrt(X0), sin(-0.870))), sin(-0.870))|9|0.27467329377375016|div(sqrt(X0), log(log(log(sqrt(add(-0.202, sub(X0, X0)))))))|12|0.3068892712614331|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
5|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), div(sqrt(X0), log(X0)))|15|0.23486346496362628|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), div(sqrt(X0), log(X0)))|15|0.23486346496362628|log(log(sqrt(X0)))|4|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
6|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), div(sqrt(X0), log(X0)))|15|0.23486346496362628|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
7|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
8|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(add(mul(X0, X0), sqrt(-0.088)), log(log(sqrt(X0))))|11|0.2830651417096583|add(mul(exp(log(log(sqrt(X0)))), log(-0.824)), log(log(sqrt(X0))))|13|0.2948348402756392|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
9|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|div(exp(log(X0)), add(sin(X0), log(X0)))|9|0.23507364334329964|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
10|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(sqrt(X0), add(log(log(sqrt(X0))), -0.089))|9|0.21567846164962864|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
11|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(sqrt(X0), add(log(log(sqrt(log(log(sqrt(X0)))))), -0.089))|12|0.27245935794239773|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
12|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|sub(add(add(-0.998, 0.194), cos(-0.366)), sin(sqrt(X0)))|10|0.2925640474682114|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
13|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|add(log(log(log(mul(X0, -0.107)))), div(cos(-0.540), log(X0)))|12|0.24146429221371404|sub(add(add(-0.998, 0.194), cos(-0.366)), sin(sqrt(X0)))|10|0.2925640474682114|mul(log(log(sqrt(X0))), exp(log(X0)))|8|0.2927713392363885|mul(log(log(sqrt(X0))), exp(log(X0)))|8|0.2927713392363885|mul(log(log(sqrt(X0))), exp(log(X0)))|8|0.2927713392363885|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|
14|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|sub(log(log(sqrt(X0))), add(exp(log(X0)), log(log(sqrt(X0)))))|13|0.2752232318278066|add(log(log(sqrt(X0))), mul(sub(cos(X0), sqrt(X0)), -0.146))|12|0.2997030041246936|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
15|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
16|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(exp(log(X0)), log(log(sqrt(X0))))|8|0.2927713392363885|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
17|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(exp(log(X0)), log(log(sqrt(X0))))|8|0.2927713392363885|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
18|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(log(log(sqrt(X0))), exp(log(sqrt(sin(X0)))))|10|0.23125016213044608|add(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
19|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(sqrt(sqrt(X0)), log(log(sqrt(X0))))|8|0.21999827376516568|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
