Gen|Top1|Length1|Fitness1|Top2|Length2|Fitness2|Top3|Length3|Fitness3|Top4|Length4|Fitness4|Top5|Length5|Fitness5|Top6|Length6|Fitness6|Top7|Length7|Fitness7|Top8|Length8|Fitness8|Top9|Length9|Fitness9|Top10|Length10|Fitness10
-1|0.14984409424371187*x0**6 - 0.21136285501903145*x0**5 + 0.26008821429742252*x0**4 - 0.15142877424053219*x0**3 - 0.12463030204329633*x0**2 - 0.022746467035329596*x0 + 0.40215246083593681|10|718.4375046936635|
0|sub(mul(div(mul(0.595, -0.381), sqrt(0.848)), log(mul(-0.367, X0))), mul(div(sqrt(-0.024), add(X0, 0.831)), add(div(-0.006, -0.342), cos(0.537))))|25|0.04525697016999552|div(0.299, exp(X0))|4|0.0563511588727177|sin(exp(sub(-0.089, X0)))|5|0.06697639562185193|div(0.683, exp(add(X0, X0)))|6|0.0751705981885348|mul(exp(mul(sub(-0.479, X0), add(X0, X0))), X0)|10|0.09770075046110743|mul(mul(log(-0.949), mul(-0.611, -0.008)), exp(log(X0)))|10|0.11007051942425378|div(add(sqrt(mul(X0, 0.441)), add(mul(X0, -0.346), sub(X0, X0))), log(sub(add(X0, 0.210), sub(0.420, X0))))|21|0.15011227484762427|sin(cos(sqrt(X0)))|4|0.15980337809155162|cos(div(sub(sub(sin(-0.756), cos(-0.070)), sqrt(add(X0, X0))), add(exp(sin(0.773)), div(add(0.045, X0), exp(X0)))))|22|0.16650031005654203|cos(sqrt(sub(sqrt(add(X0, X0)), cos(add(X0, 0.187)))))|11|0.18691444299419244|
1|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|div(0.683, exp(add(X0, sin(cos(sqrt(X0))))))|9|0.041880600399429105|div(0.683, exp(add(X0, sin(cos(sqrt(X0))))))|9|0.041880600399429105|sub(mul(div(mul(0.595, -0.381), sqrt(0.848)), log(mul(-0.367, X0))), mul(div(sqrt(-0.024), add(X0, 0.831)), add(div(-0.006, -0.342), cos(0.537))))|25|0.04525697016999552|div(0.299, exp(X0))|4|0.0563511588727177|div(0.299, exp(X0))|4|0.0563511588727177|div(0.299, exp(X0))|4|0.0563511588727177|sin(exp(sub(-0.089, X0)))|5|0.06697639562185193|sin(exp(sub(-0.089, X0)))|5|0.06697639562185193|sin(exp(sub(-0.089, X0)))|5|0.06697639562185193|
2|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|sub(sub(X0, X0), div(-0.225, X0))|7|0.05387895408330464|div(0.299, exp(X0))|4|0.0563511588727177|div(0.299, exp(X0))|4|0.0563511588727177|div(0.299, exp(X0))|4|0.0563511588727177|
3|exp(div(div(X0, -0.802), cos(0.213)))|7|0.022864826415676727|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|
4|exp(div(div(X0, -0.802), cos(0.213)))|7|0.022864826415676727|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|
5|exp(div(div(X0, -0.802), cos(0.213)))|7|0.022864826415676727|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|
6|exp(div(div(X0, -0.802), cos(0.213)))|7|0.022864826415676727|exp(div(div(X0, -0.802), cos(0.213)))|7|0.022864826415676727|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|
7|div(sqrt(sub(X0, 0.553)), exp(mul(X0, X0)))|9|0.021540853827194607|exp(div(div(X0, -0.802), cos(0.213)))|7|0.022864826415676727|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|
8|div(sqrt(sub(X0, 0.553)), exp(mul(X0, X0)))|9|0.021540853827194607|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|
9|div(sqrt(sub(X0, 0.553)), exp(mul(X0, X0)))|9|0.021540853827194607|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(exp(sub(-0.865, X0)), div(0.299, exp(X0)))|9|0.03622854488707603|add(exp(sub(-0.865, X0)), div(0.299, exp(X0)))|9|0.03622854488707603|add(exp(sub(-0.865, X0)), div(0.299, exp(X0)))|9|0.03622854488707603|
10|div(sqrt(sub(X0, 0.553)), exp(mul(X0, X0)))|9|0.021540853827194607|add(div(0.299, exp(X0)), div(0.299, exp(X0)))|9|0.02386167283271003|add(div(0.299, exp(X0)), exp(sub(-0.865, X0)))|9|0.03622854488707603|add(exp(sub(-0.865, X0)), div(0.299, exp(X0)))|9|0.03622854488707603|add(exp(sub(-0.865, X0)), div(0.299, exp(X0)))|9|0.03622854488707603|add(div(0.299, exp(X0)), exp(sub(-0.865, X0)))|9|0.03622854488707603|add(div(0.299, exp(X0)), exp(sub(-0.865, X0)))|9|0.03622854488707603|add(exp(sub(-0.865, X0)), div(0.299, exp(X0)))|9|0.03622854488707603|add(div(0.299, exp(X0)), exp(sub(-0.865, X0)))|9|0.03622854488707603|add(exp(sub(-0.865, X0)), div(0.299, exp(X0)))|9|0.03622854488707603|
